"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27367517",-0.808497666057672,4.73272511784869,-13.1781661227975,1.77440484090631e-10,5.89250274250971e-08,14.3257703309162
"27368813",-0.765460424114319,6.99921509528869,-13.0821069950196,1.9927842077845e-10,6.22752116276825e-08,14.1912173926277
"27368262",-0.971395806698329,6.63748669306151,-13.0662129498334,2.03156273816781e-10,6.22752116276825e-08,14.1680744468758
"27371484",-0.944372647461599,8.56998613148187,-12.8164866100903,2.75709861928741e-10,8.13854666508174e-08,13.9005385710938
"27368233",-1.2677910890116,4.07922890273596,-12.4779666872564,4.2038658111151e-10,1.1881279296122e-07,13.4375018669047
"27369485",-0.507820296156016,6.64169422572173,-12.4337699403868,4.44492099526126e-10,1.1881279296122e-07,13.3769953108563
"27368274",-1.24997766580035,3.63879154069372,-12.4289189245512,4.47225067608106e-10,1.1881279296122e-07,13.3157572879429
"27372051",0.633327595226998,6.10831919350654,12.0409718983491,7.34820910954252e-10,1.88920085816303e-07,12.8914969306885
"27369674",-1.18541223348616,5.71664095561443,-11.893198412526,8.90822282982042e-10,2.13950908486136e-07,12.712988927051
"27366367",-1.2160612150745,4.91554826511803,-11.8557972113067,9.35585182227819e-10,2.13950908486136e-07,12.6912782866462
"27372165",1.70295716299539,4.89749836857541,11.8564490212609,9.34785157400159e-10,2.13950908486136e-07,12.6899821974146
"27371050",0.796462882055233,7.96356150379567,11.8525686001977,9.39558569261577e-10,2.13950908486136e-07,12.6407215355862
"27371138",-2.28510047436915,5.55193091093031,-11.7548452083257,1.0686151897132e-09,2.30185488162545e-07,12.5600328963321
"27366510",-0.543930560982268,6.78475094170074,-11.8104009154609,9.93113241080081e-10,2.19864236983562e-07,12.5567589116746
"27366060",0.927251902117303,8.52463475216402,11.6478611237198,1.23151011163252e-09,2.58293041834505e-07,12.3893452923235
"27364540",-0.740064502677137,6.43629461037313,-11.6200903911861,1.27792411455271e-09,2.61155261358593e-07,12.3171355810344
"27366648",-1.23464808230015,3.48378857104944,-11.5120907897034,1.47664857520746e-09,2.94222228610086e-07,12.1493595840948
"27371839",0.659499243467732,5.83508429865622,11.205946122373,2.23740612580004e-09,4.34929922503082e-07,11.7810046940259
"27368343",-0.773629162048878,8.22971561268828,-11.1538984669151,2.40328054780907e-09,4.36537105217601e-07,11.7057516272811
"27367889",-0.514767543462725,6.30948881044021,-11.1518728496917,2.40999154699805e-09,4.36537105217601e-07,11.6687996307935
"27371263",0.576722958410551,8.97400912381011,10.9473374982481,3.20020379628794e-09,5.66791650142554e-07,11.4529323112497
"27371928",-0.746730109801595,9.89469740818361,-10.7976359428068,3.94854572883995e-09,6.69572541677752e-07,11.2750841529976
"27366606",-1.49500717844658,3.52840626426625,-10.7032375446532,4.51311453163667e-09,7.49365058690505e-07,11.0969652041401
"27365022",-1.12843745669622,2.16583688508349,-10.8211724429448,3.8196699309302e-09,6.61799333685081e-07,10.9030926753591
"27370441",-0.944366312992477,5.4363164336167,-10.5489243705727,5.62582670543424e-09,9.15057935557365e-07,10.8735884620539
"27368621",-0.886638263386787,5.22472418314355,-10.5131745979869,5.92254789470828e-09,9.440541344165e-07,10.8337599773255
"27364840",-0.564881688586546,6.03206854602984,-10.4932032880146,6.09541544883107e-09,9.52558061317326e-07,10.741487671681
"27369194",-1.22563608053858,3.6525007280397,-10.4047457868118,6.92721237151862e-09,1.06172851155776e-06,10.7228680216601
"27370366",-1.21530081217727,3.65291944461024,-10.3164651256224,7.87683780377462e-09,1.18449806219026e-06,10.5835012016325
"27367593",-0.845368274467155,4.91258856136872,-10.3031731161548,8.03124525697226e-09,1.1853523092235e-06,10.5455962090454
"27369359",0.641174371449674,4.3968975362983,10.1913323103399,9.46324915611501e-09,1.34682313882565e-06,10.4114399613916
"27367847",-3.12612643742013,0.223412374104179,-11.1590139514527,2.38641982790338e-09,4.36537105217601e-07,10.3939240039514
"27365897",-1.08253088561693,8.59742753990406,-10.2022335902323,9.31257146156468e-09,1.34682313882565e-06,10.3728275235059
"27370116",0.500734102742558,5.35456745299426,10.1715446396852,9.74332332883163e-09,1.36235591106646e-06,10.318052264412
"27367388",-0.957810717167841,4.92906175391275,-10.1405543440084,1.01995573795843e-08,1.40155986750495e-06,10.3137629909967
"27365499",0.836497335727014,3.23584589687387,10.0374782722727,1.18851215408999e-08,1.57874031134954e-06,10.1446254157615
"27368275",-0.83567232701417,4.03571265781487,-9.95733924327106,1.33963661203241e-08,1.72208125772554e-06,10.0762842052429
"27368920",0.716140575606276,7.79423586508086,10.0414385493368,1.18152390638173e-08,1.57874031134954e-06,10.0539053435491
"27365272",0.752262831880567,3.54849118153002,9.9425315602288,1.3696991530393e-08,1.7327781348767e-06,10.0406483395797
"27370109",0.914628195733197,3.67137970056972,9.92098722351671,1.41470739093449e-08,1.74045782268426e-06,10.0148283329718
"27368879",0.951964438057339,6.35776552864555,9.98061506313934,1.293772211771e-08,1.69038762751063e-06,9.9649820684497
"27367274",0.917363402776993,3.6771231547333,9.88867937717594,1.48512900733939e-08,1.7934057861356e-06,9.96195382698657
"27368664",-1.20569155358524,5.13368289501685,-9.91876140372008,1.41944489930335e-08,1.74045782268426e-06,9.95894507106526
"27370516",-0.46944318619188,8.1125199082195,-9.87611890232834,1.51349052463651e-08,1.80037604199299e-06,9.83963205347048
"27368163",0.655427849261123,10.1332353988055,9.74521077596298,1.84523080518313e-08,2.10493091190398e-06,9.74653781425182
"27371337",-0.66171605234546,6.10498059471014,-9.81648294669599,1.65610720546011e-08,1.94105506287016e-06,9.72479478298077
"27372052",0.838434049184527,5.10741931914372,9.74395918247139,1.84874735048028e-08,2.10493091190398e-06,9.70809565471954
"27370425",-1.38965544730395,4.37611110185644,-9.64004836279795,2.1666562544624e-08,2.39836810389796e-06,9.5826372828901
"27371572",-1.06489999965196,5.17853939935684,-9.60052088590866,2.30219227602907e-08,2.51348937533585e-06,9.46804007903533
"27370910",0.514916503098425,6.38431934533174,9.66316315357361,2.09129543160594e-08,2.34755275914076e-06,9.46734420218798
"27371969",-0.844165279351512,2.77306207803852,-9.55759336148476,2.45949646253798e-08,2.57923510610891e-06,9.40793963890325
"27369622",0.523838765498972,8.12789578409205,9.57643106712036,2.38912451745395e-08,2.5731516762308e-06,9.35930341871411
"27366974",-0.30296155270536,7.25546813555805,-9.55768432152343,2.45915149525513e-08,2.57923510610891e-06,9.28255965449467
"27369935",-0.408843859622811,5.92273958100227,-9.48622357660217,2.74643614310669e-08,2.84273974812471e-06,9.21813923799231
"27369339",1.06348723058243,2.78424897838565,9.43764439527743,2.96164558737444e-08,3.02619427325312e-06,9.21003684284389
"27371888",0.472410141363111,8.64163503345398,9.38677546814034,3.20602145167804e-08,3.2344292366929e-06,9.10290750464546
"27370046",1.17250402848989,4.0430900582483,9.25157011186391,3.96384146937063e-08,3.90022426060295e-06,9.00900237703485
"27368272",-1.00471519981851,3.56130849564582,-9.23806910279511,4.04919300865863e-08,3.913618150637e-06,8.99109794856655
"novel.51",0.916523379751462,3.66620806605824,9.23394256755098,4.07566256590804e-08,3.913618150637e-06,8.9860349748911
"27369821",0.4333016849004,7.8796249748435,9.27713853863625,3.80732140511886e-08,3.79304394984967e-06,8.86227128196861
"27369216",-1.89508773851394,1.56815268743946,-9.18422720208626,4.40918207562032e-08,4.08618385380162e-06,8.79582272255817
"novel.87",0.988497383467281,3.08201785777293,9.10761030321861,4.98021979589235e-08,4.36179689816066e-06,8.76563183020457
"27370707",-0.277663161102754,7.60368117201752,-9.19077240652745,4.36368706990916e-08,4.08618385380162e-06,8.70487618320457
"27365734",-0.53951159167766,6.51596073355404,-9.18906348554805,4.37551799729927e-08,4.08618385380162e-06,8.70141343862615
"27368013",-0.359641628779378,6.05179611277641,-9.13211996219313,4.78956735939733e-08,4.2890844780221e-06,8.63537466910812
"27368591",0.440168916234447,7.0503654460808,9.1420677243935,4.71438053239626e-08,4.26972873218161e-06,8.61235969828359
"27371571",-1.40861955936653,6.02118946753271,-9.04906584171076,5.46846974557831e-08,4.63656424172969e-06,8.59115891563504
"27367253",-0.429232953527436,6.85978321929241,-9.11800500001798,4.89841089037456e-08,4.33781497736503e-06,8.57492339768478
"27369044",-1.63998718882876,2.71377303283746,-8.96121355461786,6.29721079810025e-08,5.12149914775778e-06,8.53635086956723
"27369001",0.483115417637437,6.00605828818135,9.06574196956655,5.32449233446057e-08,4.56303267802696e-06,8.53437612052429
"27366472",-0.387533110997256,7.80425787218203,-9.06782748777826,5.30676756439136e-08,4.56303267802696e-06,8.53286201057805
"27369025",0.571535240502553,5.09568933415487,8.96118979545564,6.29745190063064e-08,5.12149914775778e-06,8.45886677946813
"27369752",1.45194367544987,1.79636552453897,9.14779039690661,4.67168826018699e-08,4.26972873218161e-06,8.4542431997528
"27370491",-0.309337027062462,6.25402027941639,-9.0159223427305,5.76684858070521e-08,4.78768574877297e-06,8.43108472566325
"27370850",0.290856248110992,7.10204539374501,9.03015172107156,5.63671227795219e-08,4.72890493213463e-06,8.42972869412424
"27364406",0.445783266882511,4.99898852024051,8.89945699116072,6.95772374925068e-08,5.54530582815279e-06,8.36951714168898
"27364986",0.541772961032099,5.77793331028302,8.94817999130335,6.43093383898868e-08,5.17722653502422e-06,8.36267194270383
"27365113",-0.614304907154453,6.6902124929907,-8.8568059980756,7.45591454689194e-08,5.88352860779493e-06,8.15208845794733
"27367824",-0.42061666160594,5.76961956593841,-8.77192916087505,8.5615709752982e-08,6.68977653658105e-06,8.06946682564127
"27367853",-0.476586713090937,5.39140252283854,-8.73512893655824,9.09303419537917e-08,6.96841178242038e-06,8.04581824928849
"27365666",-0.316138138707365,7.36835137605627,-8.73648759984144,9.07281159792122e-08,6.96841178242038e-06,7.95157072877948
"27371597",0.75841400828397,4.23573556946999,8.59946264711462,1.13698555544779e-07,8.39053229344339e-06,7.95064546389589
"27365010",0.8620991898604,4.32312731678808,8.58181159621775,1.17072179901986e-07,8.48241158017117e-06,7.9167851330196
"27369074",-0.410111125510742,7.65284886225622,-8.69858227938433,9.65506281355626e-08,7.32865244038508e-06,7.91561905493999
"27369333",-1.51670544574813,5.4892466759372,-8.65150977016013,1.04329671759155e-07,7.84441022566473e-06,7.91007643358253
"27364225",-0.635434051507103,10.722275587507,-8.56689848313195,1.20004010874113e-07,8.61650420420434e-06,7.90892723187613
"27370764",0.535867839049124,6.08899308639308,8.62977681204304,1.08139650441633e-07,8.05488798149362e-06,7.80513547033623
"27366066",1.16681180783623,3.42081695203957,8.46986791990808,1.41052590010015e-07,9.45754499439651e-06,7.77416448511984
"27365344",0.483345323505386,6.04947860098973,8.58328715991766,1.16786190801366e-07,8.48241158017117e-06,7.73304225697248
"27366439",-1.30645572501319,5.40394695022162,-8.52583331193097,1.28480541888268e-07,8.88598997058693e-06,7.71034973007431
"27367492",0.408020917007396,5.1950443837358,8.51882291214321,1.29989028231451e-07,8.88598997058693e-06,7.70731310378001
"27366767",0.309391125148365,6.00457846086301,8.54849540953108,1.23728055196358e-07,8.80457678495509e-06,7.67036372696743
"27365160",-0.714638882668196,6.13174527115765,-8.51671240726059,1.30446778740109e-07,8.88598997058693e-06,7.6250231594408
"27371920",0.638759602546562,4.80629928589271,8.43436176910647,1.49689517598475e-07,9.85971450627969e-06,7.61656699056449
"27368147",0.415339175501894,6.66853057093867,8.51767660179974,1.30237444550391e-07,8.88598997058693e-06,7.59283052595147
"27365416",0.365470037470983,6.69052989022199,8.51892486525441,1.29966958014606e-07,8.88598997058693e-06,7.58321471696667
"27370953",0.448974175454598,7.78717666538743,8.46919849073289,1.41210521246322e-07,9.45754499439651e-06,7.51829198660043
"27366484",-0.555514017763486,4.47073118473927,-8.35706308150354,1.704588607199e-07,1.10451798368911e-05,7.51623302691774
"27368185",-1.33914974813818,3.62087502973752,-8.29192261542277,1.90294633018248e-07,1.19756543548566e-05,7.46513245357479
"27367684",-0.660771106665287,7.37904970647775,-8.4371189641198,1.48999446972453e-07,9.85971450627969e-06,7.45693232948789
"27367839",-0.641617074599336,4.99072927991241,-8.339016960603,1.75727762832185e-07,1.12947602401009e-05,7.42486176324369
"27369962",0.334531961885024,7.00710054392476,8.42072047171384,1.53153119523355e-07,1.00051669065667e-05,7.40336526804717
"27364169",0.793616557298041,2.90235281023636,8.23933790641068,2.08060342154227e-07,1.26583276867877e-05,7.38615051985258
"27364272",-0.896825527136368,4.59144873286989,-8.28563841487254,1.9233171360372e-07,1.19756543548566e-05,7.37249132544765
"27368095",0.581284353564803,5.51738428470554,8.33413626910637,1.77181797314894e-07,1.12971113967976e-05,7.36157494079918
"27369725",-0.529812489884241,8.87663838117229,-8.28847147433245,1.91410547317186e-07,1.19756543548566e-05,7.3407641320107
"27370987",-0.611696755640308,4.78994639061127,-8.26069306863413,2.00645281078906e-07,1.2301099155376e-05,7.31734178783602
"27368876",-0.890252813857942,11.7750702458845,-8.1894359231706,2.26524943657271e-07,1.34731626936451e-05,7.30618037442658
