"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27368162",-2.15477315966903,10.648310365922,-19.5429618001766,2.86915674435059e-13,1.81485549622811e-11,20.71478943024
"27364878",0.522952861553492,6.41992354136078,19.6913121273606,2.52947615464124e-13,1.62580039939441e-11,20.6758822216471
"27365266",1.22854293388739,4.30506652133213,19.3612396294677,3.35204630509903e-13,2.03481551778268e-11,20.5583254342108
"27366031",-1.60664965475217,4.88657908592216,-19.3549980292704,3.37008341715576e-13,2.03481551778268e-11,20.5181181251048
"27366395",1.97238455141663,3.2020420727609,19.3572413960527,3.36358872734237e-13,2.03481551778268e-11,20.5092449563275
"27369797",-0.746810523432994,7.54447395189194,-19.4569441135768,3.08787334527151e-13,1.93782287888299e-11,20.4617263091027
"27371414",-0.735337392952549,6.9864120245188,-19.4332028658175,3.15128896749637e-13,1.96216977116766e-11,20.4313060401618
"27366023",-0.947609997426959,7.70782757411436,-19.402801829621,3.23450650774005e-13,1.99837340051847e-11,20.4255428812247
"27367862",-1.06616297349099,5.89575434215903,-19.3085445660553,3.50758530870926e-13,2.10191390303856e-11,20.37622141861
"27366901",-1.18721380720582,9.92510543442222,-19.1602380150911,3.9876117362248e-13,2.23811729138815e-11,20.362390487966
"27366851",-1.73336776987785,6.65544516458359,-19.2981656668618,3.53910818659684e-13,2.10497703337141e-11,20.3486426193143
"27367013",-2.16559992895206,8.45304727496398,-19.2322050077184,3.74655956395376e-13,2.16076981171487e-11,20.3465925935611
"27365364",0.67226168753011,5.82441675845919,19.2302157092582,3.75301189888402e-13,2.16076981171487e-11,20.314478015193
"27365859",-0.633286273513592,8.30037075061974,-19.184024968301,3.90617658053526e-13,2.20795938630256e-11,20.2735198308695
"27368923",-1.08285882235073,7.03261939347458,-19.2485836616802,3.69387780031643e-13,2.16076981171487e-11,20.272730999208
"27364274",0.853318491062321,6.22069441248697,19.2060735219229,3.83225886338252e-13,2.18165022436848e-11,20.2671284397927
"27364769",-1.43756039753761,7.16259399567231,-19.225464724174,3.76846930775868e-13,2.16076981171487e-11,20.2594604558821
"27365752",-0.597953221588952,7.26067685229305,-19.2353602638719,3.73634941026852e-13,2.16076981171487e-11,20.2537046250877
"27366578",0.84026333164192,5.07661239238594,19.0472928003128,4.39947387231424e-13,2.41819356981686e-11,20.2248879549926
"27368740",-4.07189035074674,4.90804518945456,-18.9465941223697,4.80458027301441e-13,2.62277429972088e-11,20.2016406165842
"27364021",-0.996716971383268,6.37439369844984,-19.1194677824748,4.13138308929374e-13,2.30259602948749e-11,20.1719489316635
"27364100",-1.61037814601747,8.13868253811805,-19.062819911527,4.34028798214403e-13,2.40222883456166e-11,20.1657892517512
"27366430",3.67019568491265,5.51969418874654,18.7442688071758,5.7422414811959e-13,2.97179640293061e-11,20.0093595026935
"27371826",-0.929746468462793,8.73146544865799,-18.8257122572761,5.34347061066256e-13,2.83916405113204e-11,19.9909744486146
"27369821",-0.724139593216289,7.8796249748435,-18.8800325978311,5.09382128925405e-13,2.74309159968613e-11,19.9660562568298
"27365909",-0.696855071982985,7.08816062612691,-18.9167911561374,4.93188546857975e-13,2.67395423024358e-11,19.9658439286754
"27365729",-1.66673191336809,7.91516620327179,-18.8282724867444,5.33141890092351e-13,2.83916405113204e-11,19.9395113339829
"27370916",-1.89907259274337,8.34479630128117,-18.7554311508371,5.68577973771443e-13,2.96180813788131e-11,19.9077678569884
"27364725",-1.82287204059895,2.78525668305206,-18.6626353153949,6.17357600538641e-13,3.11413928879302e-11,19.8664614898145
"27371606",5.46080677261852,4.19052149451141,18.6375634272008,6.31281033438951e-13,3.1643458091248e-11,19.8625881454282
"27367384",-0.712841471149303,7.84494783893481,-18.7621667688957,5.65199297893317e-13,2.96180813788131e-11,19.855017633663
"27371189",-0.673971006868962,7.18296546160161,-18.7626001029593,5.64982658107337e-13,2.96180813788131e-11,19.8272281302727
"27367573",-1.36592404337215,10.8321774454207,-18.5079379407564,7.08745570671438e-13,3.46546147131985e-11,19.8101919187527
"27369935",0.66498732745336,5.92273958100227,18.6679186515575,6.14465092229855e-13,3.11413928879302e-11,19.7990798896797
"27371389",1.48596356643722,3.03447691342344,18.5436548759536,6.8644821438661e-13,3.398131843889e-11,19.7973300892998
"27370267",0.754393442939274,6.11437635929069,18.6677826548343,6.14539367864804e-13,3.11413928879302e-11,19.7845935696216
"27367897",-0.572891482943472,6.12802346620752,-18.6661470782257,6.15433392598244e-13,3.11413928879302e-11,19.7710954181722
"27370468",-0.765094928040594,7.69671879846418,-18.6158469493717,6.43608816495745e-13,3.20597641716943e-11,19.7113945298714
"27367668",-1.24238701768161,8.76705692045379,-18.4917175487171,7.19122693532729e-13,3.49476089479015e-11,19.6906647228004
"27365926",-0.770466688870847,9.05812856872427,-18.4311500442657,7.59310031025666e-13,3.64560298028588e-11,19.6565783297741
"27367241",0.677811946948819,6.0924133860747,18.527050664788,6.96720412606714e-13,3.42769240029352e-11,19.6552724609264
"27365089",-0.452847767857758,7.23909116013074,-18.4391508114824,7.53868308098157e-13,3.64141237305595e-11,19.5264031006595
"27365239",1.57150165694788,5.94210847967886,18.3277162093579,8.33513902697654e-13,3.97790766736545e-11,19.5096950781518
"27370383",-1.1852943658885,8.93879351455468,-18.2246938757595,9.15065131878792e-13,4.16746805775656e-11,19.456971642481
"27369640",2.15735022926432,9.85498714756922,18.1394941602793,9.88860753932143e-13,4.4218789330319e-11,19.4426330011717
"27371609",-0.896294328560922,8.6714473648068,-18.2286598694852,9.11774736067876e-13,4.16746805775656e-11,19.4367664530807
"27372103",-0.617111682746362,7.77110542525139,-18.2923185973998,8.60633838453903e-13,4.08288791218905e-11,19.4141659541657
"27365034",0.487409954615587,6.35400774927487,18.2678168598851,8.79949918302162e-13,4.14982298749599e-11,19.3912578865085
"27366397",-1.23175516106863,7.63253429512129,-18.2517751550813,8.92843773775968e-13,4.16138296900261e-11,19.378354402244
"27371478",-0.665682788879612,7.34065979255114,-18.259718146317,8.86434701902134e-13,4.15581445538824e-11,19.3624615451343
"27370289",-0.609005746022542,5.95002101212835,-18.2009812659422,9.35001446790615e-13,4.23406905165977e-11,19.3535484489182
"27365962",-1.62410117359869,12.1812346057722,-17.9897140515282,1.13422254092327e-12,4.98704108070522e-11,19.3478480051679
"27371703",-0.620317671057609,7.02576053095161,-18.2338150811066,9.07516344730397e-13,4.16746805775656e-11,19.3336849998023
"27368883",1.04780994804486,4.37493765854993,17.9853109994144,1.13882242997284e-12,4.98704108070522e-11,19.3197153224259
"27368655",0.921445094491759,6.02049269069152,18.1355924245656,9.92387061047985e-13,4.4218789330319e-11,19.3026649210262
"27364639",1.88319074062757,2.15563020289446,18.2280270343261,9.12298931336027e-13,4.16746805775656e-11,19.2913154578202
